Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Use of Public Internet Computers,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
1996,Canterbury,Windham,152,4658,4420,0.9,1138,0.24,,,11715,2.5,,,,,12511,2.7,28563,6.13,26289,5.64,5456,13859,24029,5.2
1996,Canton,Hartford,64,8453,15964,1.9,7120,0.84,,,37061,4,156,,,,45947,5.4,229595,27.16,196000,23.19,22696,122102,159520,18.9
1996,Chaplin,Windham,135,2183,3120,1.4,572,0.26,,,6865,3.1,,,,,13726,6.3,22270,10.2,22270,10.2,4847,12191,18804,8.6
1996,Cheshire,New Haven,65,26691,74625,2.8,22500,0.84,17017,0.6,211014,7,50,521,0,,100162,3.8,816549,30.59,773596,28.98,91011,626715,816548,30.6
1996,Chester,Middlesex,61,3621,22000,6.1,2700,0.75,937,0.3,32773,8.5,44,1049,0.3,,14354,4,42441,11.72,35413,9.78,13069,26781,42441,11.7
1996,Clinton - Henry C. Hull,Middlesex,90,13137,,,7913,0.6,2000,0.2,211700,14,169,3861,0.3,,37320,2.8,339734,25.86,230670,17.56,70293,182904,291358,22.2
1996,Colchester - Cragin,New London,127,11906,32370,2.7,7867,0.66,3430,0.3,64170,4.8,161,4752,0.4,,27670,2.3,182512,15.33,148142,12.44,36615,97997,157567,13.2
1996,Columbia - S.B. Little,Tolland,78,4845,4000,0.8,2481,0.51,3900,0.8,39246,7.8,38,2049,0.4,,24884,5.1,146870,30.31,127053,26.22,27604,72492,124893,25.8
1996,Cornwall,Litchfield,20,1498,7176,4.8,575,0.38,,,13148,8.5,3,,,,14795,9.9,26772,17.87,2750,1.84,3441,10738,22788,15.2
1996,"Cornwall, West",Litchfield,20,,1400,0.9,270,0.18,55,0,3175,2.1,1,10,0,,13253,8.8,7100,4.74,,,571,,2917,1.9
1996,Coventry - Booth Dim,Tolland,124,10905,35480,3.3,4394,0.4,2261,0.2,97312,8.5,169,3253,0.3,,43325,4,176408,16.18,160319,14.7,23764,94162,135815,12.5
1996,Cromwell,Middlesex,97,12709,55000,4.3,7000,0.55,4378,0.3,81177,6,130,3035,0.2,,35813,2.8,313405,24.66,308013,24.24,52194,224057,319329,25.1
1996,Danbury,Fairfield,77,67370,401925,6,28026,0.42,45753,0.7,266501,3,605,19118,0.3,,93080,1.4,1719405,25.52,1463081,21.72,220129,948669,1472471,21.9
1997,Union,Tolland,94,632,3700,5.9,148,0.23,30,0,4656,7.4,1,13,0,,12825,20.3,25682,40.64,23686,37.48,6693,8681,23495,37.2
1996,Darien,Fairfield,1,19171,335811,17.5,23031,1.2,30302,1.6,475220,20,46,11097,0.6,,139977,7.3,1721597,89.8,1157347,60.37,309086,798637,1321202,68.9
1996,Deep River,Middlesex,85,4408,22842,5.2,3929,0.89,801,0.2,16242,3.5,5,186,0,,18584,4.2,56496,12.82,52639,11.94,8803,35589,47793,10.8
1996,Derby,New Haven,139,11774,36375,3.1,2260,0.19,5304,0.5,30668,2.1,326,6874,0.6,,43461,3.7,255245,21.68,228800,19.43,22155,138873,201773,17.1
1996,Derby Neck,New Haven,139,,34996,3,1879,0.16,1035,0.1,49163,2.7,36,855,0.1,,47883,4.1,304316,25.85,500,0.04,53076,120195,246723,21
1996,Durham,Middlesex,91,6223,46800,7.5,4786,0.77,8476,1.4,88441,11.6,109,1973,0.3,,36693,5.9,230966,37.11,220557,35.44,32700,142452,201852,32.4
1996,East Granby,Hartford,104,4374,30000,6.9,3504,0.8,650,0.1,29103,6.3,188,1480,0.3,,26265,6,69005,15.78,46200,10.56,14673,34716,66009,15.1
1996,East Haddam,Middlesex,112,7375,12422,1.7,4382,0.59,93,0,17082,2.2,168,1910,0.3,,20440,2.8,56467,7.66,16300,2.21,6729,30249,45489,6.2
1996,East Haddam - Rathbun,Middlesex,44,,26104,3.5,3620,0.49,830,0.1,21891,2.9,95,840,0.1,,21346,2.9,92061,12.48,39500,5.36,17118,46000,78123,10.6
1996,East Hampton,Middlesex,79,11021,34000,3.1,6163,0.56,2600,0.2,61771,5.1,166,2448,0.2,,35204,3.2,244774,22.21,232541,21.1,30437,178277,241669,21.9
1996,East Hampton - Middle,Middlesex,79,,3000,0.3,563,0.05,,,6192,0.6,37,196,0,,16519,1.5,21675,1.97,3000,0.27,5710,8617,19269,1.7
1996,East Hartford,Hartford,104,48125,122345,2.5,34325,0.71,18340,0.4,148122,2.8,26,3360,0.1,,345971,7.2,748782,15.56,740257,15.38,130000,517638,708132,14.7
